"Marca temporal","¿Desea participar de la investigación?","Edad","Género","Provincia de Residencia","Años de Experiencia en la Clínica ","Nivel de Educación MÁXIMO Adquirido","En caso de haber respondido Terciario u otro, ¿cuál fue su título?","¿Usted ha tenido formación universitaria pública o privada?","¿Cuál es tu título?","En caso de haber respondido ""no tengo título universitario"", ¿cuál fue su título máximo adquirido?","Número de Horas por Semana Atendiendo Pacientes (Aproximado)","Contexto de Trabajo","Orientación Teórica","Indique qué disciplina realiza:","Indique qué marco teórico del psicoanálisis sigue usted:","Indique qué marco teórico utiliza usted en la clínica:","Indique qué marco teórico utiliza en la práctica:","Indique qué tipo marco teórico utiliza en la práctica:","Evidencia Científica","Experiencia Personal con Consultantes (es decir la propia experiencia ejerciendo)","Entrenamiento Práctico en Clínica","El tratamiento de Preferencia de los Consultantes ","Intuición","Terapia Personal","Experiencia Personal con Consultantes","Investigación Empírica con Ensayos Controlados ","Supervisión","Investigación Empírica de Estudios de Caso ","Discusión con Pares","Libros","Observaciones de Casos Clínicos (por ejemplo en ateneos, prácticas, etc)","Medidas de resultado (resultados de escalas, cuestionarios, etc)","Guías o manuales clínicos","Estoy dispuesto a utilizar nuevos y diferentes tipos de terapia desarrollados por investigadores","Es mi deber profesional estar al día con los nuevos desarrollos en la investigación clínica (entendiendo a la investigación como un proceso que sigue el método científico)","Mi formación clínica hizo énfasis en la investigación (entendiendo a la investigación como un proceso que sigue el método científico)","Mis supervisores requieren/han requerido que use tratamientos basados ​​en la evidencia (es decir, con apoyo del método científico)","Los tratamientos basados ​​en el método científico son eficientes/costo-efectivos ","Puedo atraer nuevos consultantes aprendiendo un tratamiento basado en evidencia (como resultado del método científico)","Es importante incorporar los hallazgos científicos en mi práctica diaria","Intentaría una nueva terapia incluso si fuera muy diferente de lo que estoy acostumbrado a hacer (es decir muy diferente a lo que ejerzo)","Estoy interesado en aprender tratamientos basados ​​en evidencia (como resultado del método científico)","Los tratamientos que uso con mis consultantes tienen una base empírica (es decir cuentan con apoyo del método científico)","Mis consultantes son más complejos y diversos que los de los ensayos clínicos (provenientes de la investigación científica, ejemplo ensayos aleatorizados y controlados)","Mis consultantes prefieren otros tratamientos que los tratamientos basados ​​en evidencia (como resultado del método científico)","La terapia no puede ser manualizada","Los diagnósticos utilizados en los ensayos clínicos son demasiado simples (ejemplo ensayos aleatorizados y controlados)","Los tratamientos que prefiero no se han probado en un ensayo controlado aleatorio","Tengo un enfoque de tratamiento individual para cada consultante","No tengo tiempo para aprender tratamientos basados ​​en evidencia (como resultado del método científico)","La capacitación en tratamientos basados ​​en evidencia me costaría demasiado dinero (evidencia como resultado del método científico)","No sé cuáles tratamientos están basados ​​en evidencia (como resultado del método científico)","Mi entrenamiento clínico no proporcionó información suficiente sobre tratamientos basados ​​en evidencia (como resultado del método científico)","La alianza terapéutica es más importante que aprender cómo hacer una forma específica de psicoterapia","La mayoría de las terapias son igualmente efectivas","Mi empleador no tiene los fondos para pagarme una capacitación en tratamientos basados ​​en evidencia (como resultado del método científico)","La experiencia clínica es más importante como guía para el tratamiento que la evidencia científica","Considero fundamental el uso del consentimiento informado y lo uso siempre al tomar pacientes nuevos

0 = No sabe/No contesta, 1 = Muy en desacuerdo , 4 = Ni de acuerdo ni en desacuerdo , 7 = Muy de acuerdo","¿Le gustaría agregar otro comentario?","","","","","","","","","","","","",""
"2023/02/24 5:58:17 p. m. GMT-3","Sí","30","Masculino","Provincia de Buenos Aires","1.3","Carrera de Especialización","","Pública","Lic. en Psicología","","35","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Dialéctico Conductual","","","7","5","5","1","0","6","6","7","7","6","5","4","2","6","7","6","8","7","2","8","6","7","7","8","7","6","4","0","5","2","4","2","3","0","4","3","0","7","3","","","","","","","","","","","Sí","No","No","",""
"2023/02/24 6:05:06 p. m. GMT-3","Sí","26","Masculino","Provincia de Buenos Aires","2","Licenciatura de Grado","","Pública","Lic. en Psicología","","46","Ámbito Público (hospital u otro)","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Racional Emotiva;Terapia Cognitiva;Terapia de Conducta","","","7","7","7","1","1","7","6","6","7","5","5","7","4","4","6","7","4","4","1","7","4","7","4","7","7","7","4","7","4","1","7","4","6","1","4","4","1","7","4","","","","","","","","","","","Sí","No","No","",""
"2023/02/24 6:14:18 p. m. GMT-3","Sí","38","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","4","Carrera de Especialización","","Pública","Lic. en Psicología","","9","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual","","","7","6","2","3","0","7","7","1","6","1","7","7","7","5","6","7","7","1","6","7","5","7","4","7","7","6","2","6","5","2","4","2","5","1","7","5","1","0","2","","","","","","","","","","","Sí","No","No","",""
"2023/02/24 6:14:58 p. m. GMT-3","Sí","23","Femenino","Provincia de Buenos Aires","1.3","Licenciatura de Grado","","Privada","Lic. en Psicología","","20","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual","","","7","7","7","1","5","1","6","7","7","3","4","7","7","6","7","4","7","1","6","7","4","7","4","7","7","2","4","1","5","1","7","1","7","1","6","1","1","0","2","","","","","","","","","","Quizás preguntar acerca de la formación formal (en licenciatura, especializaciones) vs autodidacta, ya que muchxs hemos tenido formación pseudocientífica y la formación en psicología basada en evidencia se puede dar por cursos no avalados o de manera autodidacta.","Sí","No","Sí","",""
"2023/02/24 6:15:22 p. m. GMT-3","Sí","37","Femenino","Provincia de Buenos Aires","1.10","Licenciatura de Grado","Licenciatura en Psicología ","Privada","Lic. en Psicología","","30","Ámbito Privado;Obra Social o Prepaga","Ecléctico (más de una de estas opciones)","","","","","Terapias Cognitivas/Comportamentales;Sistémica","7","6","5","6","6","7","5","6","7","4","6","6","6","5","4","7","7","4","3","7","7","6","1","7","7","5","2","4","0","0","6","1","6","1","6","4","1","7","4","","","","","","","","","","","Sí","No","No","",""
"2023/02/24 6:30:35 p. m. GMT-3","Sí","42","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","17","Posdoctorado","","Pública","Lic. en Psicología","","10","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva","","","7","7","7","6","4","3","5","7","7","5","7","6","6","7","7","7","7","7","7","7","5","7","6","7","6","7","3","2","2","1","6","1","1","1","2","3","1","0","3","","","","","","","","","","","Sí","No","No","",""
"2023/02/24 6:48:26 p. m. GMT-3","Sí","28","Masculino","Provincia de Buenos Aires","2","Máster","","Pública","Lic. en Psicología","","9","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso","","","7","4","1","1","0","4","5","1","7","1","3","6","2","5","6","4","7","5","7","7","7","4","2","7","7","5","0","0","0","1","3","0","0","2","7","1","1","0","1","","Debo reconocer de no estar seguro si entendi bien que se refería en algunas preguntas. Por ejemplo lo de cambiar el tratamiento segun paciente. Cambia la problematica y cambia los procedimientos. Cuenta como cambio? O cambiar el tipo teorico de tratamiento? (Esa interpretación solo tendría sentido para eclecticos)","","","","","","","","Uso de consentimiento informado
Comunicación del diagnostico/del problema/explciacion de los resultados de la evaluacion
Si define y explicita objetivos con el consultante","No","No","Sí","Las que la pregunta esta formulada en negativo (por ejemplo ""no tendría tiempo"") genera confusion con las opciones que tambien estan en negativo (sobretodo las graduales ej ""un poco en desacuerdo"")",""
"2023/02/24 6:59:04 p. m. GMT-3","Sí","37","Género no Binario","Provincia de Buenos Aires","2","Carrera de Especialización","","Privada","Lic. en Psicología","","12","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia de Conducta;Terapia Dialéctico Conductual","","","6","6","6","2","4","6","6","0","6","4","5","6","2","5","5","5","7","3","6","6","5","6","4","6","6","2","4","2","3","1","4","2","5","1","4","4","2","6","2","","","","","","","","","","","Sí","No","No","",""
"2023/02/24 7:12:43 p. m. GMT-3","Sí","25","Femenino","Provincia de Buenos Aires","0.7","Licenciatura de Grado","","Pública","Lic. en Psicología","","16","Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta","","","7","7","5","1","1","1","5","7","2","5","5","5","2","3","5","7","7","5","4","5","4","7","5","7","6","7","4","3","5","0","5","1","4","1","1","4","1","0","2","","","","","","","","","","","Sí","No","No","",""
"2023/02/24 7:25:50 p. m. GMT-3","Sí","47","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","25","Posdoctorado","","Privada","Lic. en Psicología","","40","Ámbito Público (hospital u otro);Ámbito Privado","Psicoanálisis","","Freudiano","","","","4","7","7","6","6","6","7","6","7","6","7","7","7","5","5","7","8","8","8","8","8","8","7","8","0","8","8","7","0","0","4","8","8","8","1","4","4","0","7","","","","","","","","","","","Sí","No","No","",""
"2023/02/24 8:14:37 p. m. GMT-3","Sí","27","Femenino","La Rioja","1.4","Licenciatura de Grado","","Privada","Lic. en Psicología","","45","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia Dialéctico Conductual","","","5","6","6","5","4","5","6","4","2","3","7","6","6","2","4","5","7","6","0","5","4","5","4","4","4","2","4","4","4","4","5","2","5","0","4","3","4","6","3","","","","","","","","","","","Sí","No","No","",""
"2023/02/24 9:17:39 p. m. GMT-3","Sí","24","Masculino","Provincia de Buenos Aires","0.7","Licenciatura de Grado","","Pública","Lic. en Psicología","","15","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual","","","7","0","2","1","1","1","3","2","6","2","6","7","1","4","7","7","8","6","7","6","7","7","5","7","7","5","4","4","4","1","7","2","5","1","4","1","1","0","2","","Nada aguante esta investigación ","","","","","","","","","No","No","No","Creo que algunas afirmaciones de la cuarta sección fueron muy especificas ",""
"2023/02/24 9:25:05 p. m. GMT-3","Sí","33","Femenino","Chaco","4","Carrera de Especialización","","Pública","Lic. en Psicología","","30","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia de Aceptación y Compromiso;Terapia Analítico Funcional;Terapia basada en Mindfulness","","","7","7","7","4","6","7","7","5","6","5","7","7","6","4","7","3","7","7","6","7","7","5","4","5","7","6","4","4","4","1","5","1","1","1","1","4","3","1","2","","","","","","","","","","","Sí","No","No","",""
"2023/02/24 9:41:22 p. m. GMT-3","Sí","29","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","1.6","Licenciatura de Grado","","Pública","Lic. en Psicología","","27","Ámbito Privado","Ecléctico (más de una de estas opciones)","","","","","Psicoanálisis","3","5","5","4","2","3","3","5","5","5","4","4","4","1","3","7","5","1","3","3","3","4","7","7","4","2","4","3","4","5","5","1","7","3","7","4","2","7","4","","","","","","","","","","","Sí","No","No","",""
"2023/02/24 10:51:13 p. m. GMT-3","Sí","38","Femenino","Provincia de Buenos Aires","11","Carrera de Especialización","","Pública","Lic. en Psicología","","40","Ámbito Privado","Psicoanálisis","","Lacaniano","","","","2","7","7","1","0","7","4","2","7","7","7","7","7","1","1","4","8","8","8","8","8","8","4","8","0","8","8","7","4","0","7","8","8","8","8","1","7","8","4","","","","","","","","","","","Sí","No","No","",""
"2023/02/25 8:30:54 a. m. GMT-3","Sí","31","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","1.6","Licenciatura de Grado","","Pública","Lic. en Psicología","","15","Ámbito Privado","Psicoanálisis","","Freudiano","","","","2","5","7","5","3","7","5","0","4","3","5","4","7","1","1","4","5","5","3","5","4","4","5","5","5","5","4","2","4","5","4","7","7","1","5","7","4","7","4","4","","","","","","","","","","Sí","No","No","",""
"2023/02/25 10:38:17 a. m. GMT-3","Sí","27","Femenino","Provincia de Buenos Aires","0.5","Licenciatura de Grado","","Pública","Lic. en Psicología","","6","Particular ","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual;Terapia Analítico Funcional","","","7","2","4","1","3","5","7","5","4","3","6","7","5","4","6","5","7","6","7","6","7","7","5","7","6","6","5","4","5","3","5","3","6","1","6","3","2","5","3","7","","","","","","","","","","Sí","No","No","",""
"2023/02/25 10:50:15 a. m. GMT-3","Sí","57","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","30","Licenciatura de Grado","","Pública","Lic. en Psicología","","20","Ámbito Privado","Emdr","","","","","","7","7","7","7","3","7","7","3","3","3","4","4","4","4","4","7","8","6","4","4","4","6","7","6","7","4","4","7","4","2","7","2","0","2","2","6","1","7","4","7","","","","","","","","","","Sí","No","No","",""
"2023/02/25 11:22:04 a. m. GMT-3","Sí","34","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","9.7","Carrera de Especialización","","Privada","Lic. en Psicología","","35","Ámbito Público (hospital u otro);Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta","","","6","6","3","2","2","5","4","6","6","4","5","5","2","5","6","6","6","5","4","6","4","6","2","6","6","7","2","1","4","2","3","1","1","1","1","4","1","7","4","3","","","","","","","","","","Sí","No","No","",""
"2023/02/25 11:23:13 a. m. GMT-3","Sí","38","Masculino","Ciudad Autónoma de Buenos Aires (CABA)","15","Máster","","Privada","Lic. en Psicología","","40","Ámbito Público (hospital u otro);Ámbito Privado","Psicoanálisis","","Lacaniano","","","","2","1","3","1","1","6","7","0","7","6","6","7","6","0","0","0","8","8","8","1","3","8","1","8","7","7","6","7","7","7","4","8","8","2","8","4","1","4","6","1","","","","","","","","","","Sí","No","No","",""
"2023/02/25 11:47:16 a. m. GMT-3","Sí","30","Masculino","Mendoza","4.9","Licenciatura de Grado","","Privada","Lic. en Psicología","","32","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia de Conducta","","","6","5","6","1","1","1","5","7","7","7","5","7","6","3","6","7","7","7","7","7","7","7","7","7","7","7","2","2","1","1","5","1","5","1","1","1","1","0","1","4","","","","","","","","","","Sí","No","No","",""
"2023/02/25 12:04:14 p. m. GMT-3","Sí","35","Masculino","Provincia de Buenos Aires","3","Licenciatura de Grado","","Pública","Lic. en Psicología","","42","Ámbito Público (hospital u otro);Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual","","","7","1","7","1","1","1","4","4","4","1","4","7","3","1","7","7","7","7","0","6","6","7","5","6","7","7","2","1","4","0","3","1","7","1","1","1","1","5","1","7","","","","","","","","","","Sí","No","No","",""
"2023/02/25 12:30:00 p. m. GMT-3","Sí","33","Femenino","Provincia de Buenos Aires","1.7","Licenciatura de Grado","","Pública","Lic. en Psicología","","16","Ámbito Público (hospital u otro);Ámbito Privado","Ecléctico (más de una de estas opciones)","","","","","Terapias Cognitivas/Comportamentales;Psicoanálisis","5","7","7","1","4","4","7","4","4","1","4","6","1","1","6","6","7","1","6","7","7","7","5","7","7","7","2","7","7","4","1","6","7","1","4","3","1","0","4","7","","","","","","","","","","Sí","No","No","",""
"2023/02/25 12:47:02 p. m. GMT-3","Sí","31","Masculino","Mendoza","2.3","Licenciatura de Grado","","Privada","Lic. en Psicología","","35","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta","","","7","4","5","2","3","1","5","5","1","5","7","3","0","0","5","7","7","7","0","7","7","7","4","7","5","7","5","4","0","0","6","6","7","1","7","5","2","0","5","6","","","","","","","","","","Sí","No","No","",""
"2023/02/25 12:48:09 p. m. GMT-3","Sí","26","Femenino","Mendoza","1.7","Licenciatura de Grado","","Privada","Lic. en Psicología","","35","Ámbito Privado;Obra Social o Prepaga","Ecléctico (más de una de estas opciones)","","","","","Terapias Cognitivas/Comportamentales;Sistémica","6","7","6","3","0","4","7","7","7","0","7","7","5","7","7","5","6","5","5","7","7","5","1","5","7","1","1","1","1","1","4","1","1","1","1","4","1","1","4","7","","","","","","","","","","Sí","No","No","",""
"2023/02/25 12:56:19 p. m. GMT-3","Sí","28","Femenino","Provincia de Buenos Aires","1.5","Carrera de Especialización","","Pública","Lic. en Psicología","","20","Ámbito Privado;Obra Social o Prepaga","Terapias Cognitivas/Comportamentales","","","Terapia Cognitiva;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Dialéctico Conductual","","","7","4","5","3","6","7","5","5","5","3","7","7","4","6","7","7","7","7","7","7","6","7","6","7","7","7","4","5","6","1","7","1","1","1","1","4","1","0","1","7","","","","","","","","","","Sí","No","No","",""
"2023/02/25 1:00:25 p. m. GMT-3","Sí","30","Masculino","Corrientes","1","Licenciatura de Grado","","Privada","Lic. en Psicología","","10","Ámbito Privado","Terapias Cognitivas/Comportamentales","","","Mas integrativo","","","7","3","3","6","1","6","5","5","5","0","0","6","1","2","4","7","8","8","7","8","7","8","2","8","7","1","1","1","2","0","2","0","4","1","2","4","1","0","1","7","","","","","","","","","","Sí","No","No","",""
"2023/02/25 1:03:52 p. m. GMT-3","Sí","29","Masculino","Ciudad Autónoma de Buenos Aires (CABA)","5","Licenciatura de Grado","","Pública","Lic. en Psicología","","50","Ámbito Privado","Psicoanálisis","","Lacaniano;Freudiano","","","","0","7","7","0","0","3","7","0","7","0","5","7","7","0","0","7","8","8","8","8","8","8","7","8","7","8","8","4","4","4","4","8","8","8","8","7","4","8","5","7","","","","","","","","","","Sí","No","No","",""
"2023/02/25 1:06:08 p. m. GMT-3","Sí","28","Masculino","Provincia de Buenos Aires","2.3","Licenciatura de Grado","","Pública","Lic. en Psicología","","45","Ámbito Privado;Obra Social o Prepaga;Hospital privado que trabaja con prepagas ","Terapias Cognitivas/Comportamentales","","","Análisis Conductual Aplicado;Terapia de Conducta;Terapia de Aceptación y Compromiso;Terapia Analítico Funcional","","","6","7","5","5","4","4","4","5","7","6","6","7","4","2","6","7","7","6","6","5","4","7","7","7","7","7","2","6","6","1","6","2","6","1","2","3","2","0","3","3","En referencia a los cursos y entrenamientos. Considero que uno puede profundizar más con la lectura de libros que pagando cursos que acaban siendo muy básicos. En ese sentido encontré mucho más útil la supervisión con expertos formados en los modelos que pretendo aprender a aplicar. 
En referencia a la pregunto por la la importancia de la alianza terapéutica por sobre el modelo terapéutico, comparto la opinión de terapeutas que definen la alianza como el resultado de las intervenciones y no como un elemento a parte. Por eso me costó responder a la pregunta. 
Muy entretenida la encuentra !! Saludos ","","","","","","","","Preguntas en referencia el método de estudio autodidacta. Estimo que en argentina es más común conocer un modelo terapéutico por este medio que mediante el pago de entrenamientos. ","Sí","No","Sí","",""
"2023/02/25 1:16:40 p. m. GMT-3","Sí","30","Femenino","Ciudad Autónoma de Buenos Aires (CABA)","4","Carrera de Especialización","Especialista en Clínica Sistémica ","Pública","Lic. en Psicología","","8","Ámbito Privado","Sistémica","","","","","","6","1","2","2","1","1","6","3","4","4","6","5","4","3","5","5","7","6","7","7","3","6","0","7","6","8","0","4","0","2","6","2","6","2","1","5","1","0","2","6","","","","","","","","","","No","No","No","En lugar de 0 para NSNC, agregaría directamente""NSNC"", después en tal caso uds lo clasifican como 0. Lo mismo con la rta valor 8 ",""
